,step,scenario,algorithm,length,qname_count,qname
505,initial-,SRV,ed25519,419,"[4, 4]",initial-ed25519.example.
506,new_rrsig-,SRV,ed25519,1858,"[6, 6]",new_rrsig-ed25519.example.
507,new_dnskey-,SRV,ed25519,1869,"[6, 6]",new_dnskey-ed25519.example.
508,dnskey_removal-,SRV,ed25519,1885,"[6, 6]",dnskey_removal-ed25519.example.
509,rrsig_removal-,SRV,ed25519,1632,"[4, 4]",rrsig_removal-ed25519.example.
510,initial-,SRV,ed448,511,"[4, 4]",initial-ed448.example.
511,new_rrsig-,SRV,ed448,1946,"[6, 6]",new_rrsig-ed448.example.
512,new_dnskey-,SRV,ed448,1950,"[6, 6]",new_dnskey-ed448.example.
513,dnskey_removal-,SRV,ed448,1967,"[6, 6]",dnskey_removal-ed448.example.
514,rrsig_removal-,SRV,ed448,1620,"[4, 4]",rrsig_removal-ed448.example.
515,initial-,SRV,falcon,1601,"[4, 4]",initial-falcon.example.
516,new_rrsig-,SRV,falcon,3046,"[6, 6]",new_rrsig-falcon.example.
517,new_dnskey-,SRV,falcon,3042,"[6, 6]",new_dnskey-falcon.example.
518,dnskey_removal-,SRV,falcon,3067,"[6, 6]",dnskey_removal-falcon.example.
519,rrsig_removal-,SRV,falcon,1629,"[4, 4]",rrsig_removal-falcon.example.
520,initial-,KEY,rsasha1,803,"[4, 4]",initial-rsasha1.example.
521,new_rrsig-,KEY,rsasha1,2233,"[6, 6]",new_rrsig-rsasha1.example.
522,new_dnskey-,KEY,rsasha1,2246,"[6, 6]",new_dnskey-rsasha1.example.
523,dnskey_removal-,KEY,rsasha1,2273,"[6, 6]",dnskey_removal-rsasha1.example.
524,rrsig_removal-,KEY,rsasha1,1633,"[4, 4]",rrsig_removal-rsasha1.example.
525,initial-,KEY,rsasha256,811,"[4, 4]",initial-rsasha256.example.
526,new_rrsig-,KEY,rsasha256,2251,"[6, 6]",new_rrsig-rsasha256.example.
527,new_dnskey-,KEY,rsasha256,2260,"[6, 6]",new_dnskey-rsasha256.example.
528,dnskey_removal-,KEY,rsasha256,2283,"[6, 6]",dnskey_removal-rsasha256.example.
529,rrsig_removal-,KEY,rsasha256,1640,"[4, 4]",rrsig_removal-rsasha256.example.
530,initial-,KEY,rsasha512,811,"[4, 4]",initial-rsasha512.example.
531,new_rrsig-,KEY,rsasha512,2256,"[6, 6]",new_rrsig-rsasha512.example.
532,new_dnskey-,KEY,rsasha512,2256,"[6, 6]",new_dnskey-rsasha512.example.
533,dnskey_removal-,KEY,rsasha512,2285,"[6, 6]",dnskey_removal-rsasha512.example.
534,rrsig_removal-,KEY,rsasha512,1643,"[4, 4]",rrsig_removal-rsasha512.example.
535,initial-,KEY,ecdsa256,423,"[4, 4]",initial-ecdsa256.example.
536,new_rrsig-,KEY,ecdsa256,1861,"[6, 6]",new_rrsig-ecdsa256.example.
537,new_dnskey-,KEY,ecdsa256,1870,"[6, 6]",new_dnskey-ecdsa256.example.
538,dnskey_removal-,KEY,ecdsa256,1892,"[6, 6]",dnskey_removal-ecdsa256.example.
539,rrsig_removal-,KEY,ecdsa256,1634,"[4, 4]",rrsig_removal-ecdsa256.example.
540,initial-,KEY,ecdsa384,487,"[4, 4]",initial-ecdsa384.example.
541,new_rrsig-,KEY,ecdsa384,1927,"[6, 6]",new_rrsig-ecdsa384.example.
542,new_dnskey-,KEY,ecdsa384,1930,"[6, 6]",new_dnskey-ecdsa384.example.
543,dnskey_removal-,KEY,ecdsa384,1951,"[6, 6]",dnskey_removal-ecdsa384.example.
544,rrsig_removal-,KEY,ecdsa384,1633,"[4, 4]",rrsig_removal-ecdsa384.example.
545,initial-,KEY,ed25519,419,"[4, 4]",initial-ed25519.example.
546,new_rrsig-,KEY,ed25519,1858,"[6, 6]",new_rrsig-ed25519.example.
547,new_dnskey-,KEY,ed25519,1869,"[6, 6]",new_dnskey-ed25519.example.
548,dnskey_removal-,KEY,ed25519,1885,"[6, 6]",dnskey_removal-ed25519.example.
549,rrsig_removal-,KEY,ed25519,1632,"[4, 4]",rrsig_removal-ed25519.example.
550,initial-,KEY,ed448,511,"[4, 4]",initial-ed448.example.
551,new_rrsig-,KEY,ed448,1946,"[6, 6]",new_rrsig-ed448.example.
552,new_dnskey-,KEY,ed448,1950,"[6, 6]",new_dnskey-ed448.example.
553,dnskey_removal-,KEY,ed448,1967,"[6, 6]",dnskey_removal-ed448.example.
554,rrsig_removal-,KEY,ed448,1620,"[4, 4]",rrsig_removal-ed448.example.
555,initial-,KEY,falcon,1601,"[4, 4]",initial-falcon.example.
556,new_rrsig-,KEY,falcon,3046,"[6, 6]",new_rrsig-falcon.example.
557,new_dnskey-,KEY,falcon,3042,"[6, 6]",new_dnskey-falcon.example.
558,dnskey_removal-,KEY,falcon,3067,"[6, 6]",dnskey_removal-falcon.example.
559,rrsig_removal-,KEY,falcon,1629,"[4, 4]",rrsig_removal-falcon.example.
