,step,scenario,algorithm,length,qname_count,qname
68,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),ed25519,1840,"[1, 6, 6]",wildcard.dnskey_removal-ed25519.example.
69,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),ed25519,1582,"[1, 4, 4]",wildcard.rrsig_removal-ed25519.example.
70,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC),ed448,467,"[1, 4, 4]",wildcard.initial-ed448.example.
71,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC),ed448,1906,"[1, 6, 6]",wildcard.new_rrsig-ed448.example.
72,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC),ed448,1903,"[1, 6, 6]",wildcard.new_dnskey-ed448.example.
73,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),ed448,1924,"[1, 6, 6]",wildcard.dnskey_removal-ed448.example.
74,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),ed448,1578,"[1, 4, 4]",wildcard.rrsig_removal-ed448.example.
75,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC),falcon,1561,"[1, 4, 4]",wildcard.initial-falcon.example.
76,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC),falcon,2998,"[1, 6, 6]",wildcard.new_rrsig-falcon.example.
77,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC),falcon,2998,"[1, 6, 6]",wildcard.new_dnskey-falcon.example.
78,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),falcon,3024,"[1, 6, 6]",wildcard.dnskey_removal-falcon.example.
79,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC),falcon,1580,"[1, 4, 4]",wildcard.rrsig_removal-falcon.example.
80,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha1,794,"[1, 3, 3]",wildcard.initial-rsasha13.example.
81,new_rrsig-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha1,2237,"[1, 5, 5]",wildcard.new_rrsig-rsasha13.example.
82,new_dnskey-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha1,2234,"[1, 5, 5]",wildcard.new_dnskey-rsasha13.example.
83,dnskey_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha1,2251,"[1, 5, 5]",wildcard.dnskey_removal-rsasha13.example.
84,rrsig_removal-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha1,1614,"[1, 3, 3]",wildcard.rrsig_removal-rsasha13.example.
85,initial-,1 AAAA RR with RRSIG for Wildcard (NSEC3),rsasha256,800,"[1, 3, 3]",wildcard.initial-rsasha2563.example.
